code,name,country,municipality
SNDC,Redenção Airport,BR,Redenção
SNDN,Cemaden - CIGE Heliport,BR,Salvador
SNDT,Diamantina Airport,BR,Diamantina
SNDV,Brigadeiro Cabral Airport,BR,Divinópolis
SNED,Sócrates Rezende Airport,BR,Canavieiras
SNFX,São Félix do Xingu Airport,BR,São Félix do Xingu
SNGA,Guarapari Airport,BR,Guarapari
SNGD,Guadalupe Airport,BR,Guadalupe
SNGI,Guanambi Airport,BR,Guanambi
SNGM,Fazenda Epemaju Airstrip,BR,São Félix do Xingu
SNGN,Garanhuns Airport,BR,Garanhuns
SNHA,Comandante Endeel Gabriel Helipad,BR,São Luís
SNHS,Santa Magalhães Airport,BR,Serra Talhada
SNIC,Irecê Airport,BR,Irecê
SNIU,Ipiaú Airport,BR,Ipiaú
SNJB,Jacobina Airport,BR,Jacobina
SNJD,Fazenda Jardim,BR,Chapadão do Céu
SNJK,Jequié Airport,BR,Jequié
SNJN,Januária Airport,BR,Januária
SNJR,Prefeito Octávio de Almeida Neves Airport,BR,São João Del Rei
SNKE,Fazenda São Francisco Airstrip,BR,Morada Nova de Minas
SNKI,Cachoeiro do Itapemirim - Raimundo de Andrade Airport,BR,Cachoeiro do Itapemirim
SNLB,Fazenda Magdalena Airstrip,BR,Lábrea
SNLO,São Lourenço Airport,BR,São Lourenço
SNMA,Monte Alegre Airport,BR,Monte Alegre
SNMU,Mucuri Airport,BR,Mucuri
SNMX,São Mateus - Ernesto Bonomo Airport,BR,São Mateus
SNMZ,Porto de Moz Airport,BR,Porto de Moz
SNNU,Nanuque Airport,BR,Nanuque
SNOU,Feijó Airport,BR,Feijó
SNOX,Oriximiná Airport,BR,Oriximiná
SNPC,Picos Airport,BR,Picos
SNPD,Patos de Minas Airport,BR,Patos de Minas
SNPX,Pirapora Airport,BR,Pirapora
SNQG,Cangapara Airport,BR,Floriano
SNRD,Prado Airport,BR,Prado
SNRU,Caruaru Airport,BR,Caruaru
SNTF,9 de Maio - Teixeira de Freitas Airport,BR,Teixeira de Freitas
SNTI,Óbidos Municipal Airport,BR,Óbidos
SNTO,Juscelino Kubitscheck Airport,BR,Teófilo Otoni
SNVB,Valença Airport,BR,Valença
SNVS,Breves Airport,BR,Breves
SNWC,Camocim - Pinto Martins Airport,BR,Camocim
SNYA,Almeirim Airport,BR,Almeirim
SNYE,Pinheiro Airport,BR,Pinheiro
SNZA,Pouso Alegre Airport,BR,Pouso Alegre
SNZW,Ituberá Airport,BR,Ituberá
SOCA,Cayenne – Félix Eboué Airport,GF,Matoury
SOGS,Grand-Santi Airport,GF,Grand-Santi
SOOA,Maripasoula Airport,GF,Maripasoula
SOOG,Saint-Georges-de-l'Oyapock Airport,GF,Saint-Georges-de-l'Oyapock
SOOK,Kourou Airport,GF,Kourou
SOOM,Saint-Laurent-du-Maroni Airport,GF,Saint-Laurent-du-Maroni
SOOR,Régina Airport,GF,Régina
SOOS,Saül Airport,GF,Saül
SPAR,Alerta Airport,PE,Fortaleza
SPAY,Teniente General Gerardo Pérez Pinedo Airport,PE,Atalaya
SPBB,Moyobamba Airport,PE,Moyobamba
SPBJ,Buncuyo,PE,Ramón Castilla
SPBL,Bolognesi Airport,PE,Bolognesi
SPBR,Iberia Airport,PE,Iberia
SPCL,Cap FAP David Abenzur Rengifo International Airport,PE,Pucallpa
SPDR,Trompeteros Airport,PE,Corrientes
SPEO,FAP Lieutenant Jaime Andres de Montreuil Morales Airport,PE,Chimbote
SPGL,Chagual Airport,PE,
SPGM,Tingo Maria Airport,PE,Tingo Maria
SPHI,Capitán FAP José A. Quiñones González International Airport,PE,Chiclayo
SPHO,Air Force Colonel Alfredo Mendivil Duarte Airport,PE,Ayacucho
SPHY,Andahuaylas Airport,PE,Andahuaylas
SPHZ,Comandante FAP German Arias Graziani Airport,PE,Anta
SPIL,Quincemil Air Base,PE,Quince Mil
SPJA,Juan Simons Vela Airport,PE,Rioja
SPJC,Jorge Chávez International Airport,PE,Lima
SPJE,Shumba Airport,PE,Jaén
SPJI,Juanjui Airport,PE,Juanjuí
SPJJ,Francisco Carle Airport,PE,Jauja
SPJL,Inca Manco Capac International Airport,PE,Juliaca
SPJN,San Juan de Marcona Airport,PE,San Juan de Marcona
SPJR,Mayor General FAP Armando Revoredo Iglesias Airport,PE,Cajamarca
SPLN,San Nicolas Airport,PE,Rodriguez de Mendoza
SPLO,General Jorge Fernandez Maldon Airport,PE,Ilo
SPME,Captain Pedro Canga Rodríguez International Airport,PE,Tumbes
SPMF,Mayor PNP Nancy Flores Paucar Airport,PE,Mazamari
SPMS,Moises Benzaquen Rengifo Airport,PE,Yurimaguas
SPNC,Alferez Fap David Figueroa Fernandini Airport,PE,Huánuco
SPOA,Saposoa Airport,PE,Plaza Saposoa
SPPY,Chachapoyas Airport,PE,Chachapoyas
SPQT,Coronel FAP Francisco Secada Vignetta International Airport,PE,Iquitos
